,Company,New Filing?,Reported funding,Incremental Cash ,Date,New or Amended
883,"Artemis Real Estate Partners Fund III, L.P.  (Pooled Investment Fund - Chevy Chase, MD)",Yes,"$661,050,000","$661,050,000",2018-01-04,New Filing
884,"OUTLIER REALTY TRUST, INC.  (REITS and Finance - Bethesda, MD)",No,"$2,922,500","$1,582,500",2018-01-03,Amended
885,"MPLEX Corp  (Other Technology - College Park, MD)",Yes,"$12,000","$12,000",2018-01-03,New Filing
886,"Iron Point Real Estate Partners IV, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$117,750,000","$56,730,000",2018-01-03,Amended
887,"Tianyou Fund, L.P.  (Pooled Investment Fund - Annandale, VA)",No,"$152,756,290","$50,961,354",2018-01-03,Amended
888,"IOT DEFENSE INC.  (Other Technology - Falls Church, VA)",Yes,"$1,000,000","$1,000,000",2018-01-02,New Filing
889,"OUTLIER REALTY TRUST, INC.  (REITS and Finance - Bethesda, MD)",Yes,"$62,500","$62,500",2018-01-02,New Filing
890,"LB Spectrum Holdings, LLC  (Telecommunications - Alexandria, VA)",Yes,Yet to Sell,$0,2017-12-29,New Filing
891,"FCP Realty Fund IV, L.P.  (Other Real Estate - Chevy Chase, MD)",Yes,"$300,950,000","$300,950,000",2017-12-29,New Filing
892,"Dexter Winston TE Fund LLC  (Pooled Investment Fund - Arlington, VA)",No,"$87,435,506",$0,2017-12-27,Amended
893,"Dexter Winston Fund, L.P.  (Pooled Investment Fund - Arlington, VA)",No,"$27,651,400",$0,2017-12-27,Amended
894,"Perthera, Inc.  (Other Health Care - Mclean, VA)",Yes,"$750,000","$750,000",2017-12-26,New Filing
895,"Carlyle Thunder Coinvestment, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2017-12-22,New Filing
896,"WMC Gallatin, LLC  (Other Real Estate - Alexandria, VA)",Yes,"$1,175,000","$1,175,000",2017-12-21,New Filing
897,"Carlyle Realty Coinvestment VIII, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$150,000,000","$150,000,000",2017-12-21,New Filing
898,"ASTRA PARTNERS I, LP  (Pooled Investment Fund - Washington, DC)",Yes,"$138,000,000","$138,000,000",2017-12-21,New Filing
899,"New Health Sciences, Inc.  (Biotechnology - Lexington, MD)",Yes,"$2,700,000","$2,700,000",2017-12-19,New Filing
900,"Dolcezza Gelato Holding LLC  (Other - Washington, DC)",Yes,"$850,000","$850,000",2017-12-19,New Filing
901,"Aledade, Inc.  (Other Health Care - Bethesda, MD)",Yes,"$22,999,974","$22,999,974",2017-12-19,New Filing
902,"ATAATA, Inc.  (Other - Bethesda, MD)",Yes,"$3,000,000","$3,000,000",2017-12-19,New Filing
903,"CSH Program REIT V, Inc.  (REITS and Finance - Washington, DC)",Yes,"$123,000","$123,000",2017-12-19,New Filing
904,"UrbanStems, Inc.  (Other - Washington, DC)",Yes,"$6,565,998","$6,565,998",2017-12-18,New Filing
905,"BiTSR, Inc.  (Other Technology - Alexandria, VA)",No,"$750,000","$125,000",2017-12-18,Amended
906,"Untethered Labs, Inc.  (Other Technology - College Park, MD)",Yes,"$326,104","$326,104",2017-12-15,New Filing
907,"SQM Frontier Middle East Fund, LP  (Pooled Investment Fund - Arlington, VA)",No,"$136,887,291","$38,902",2017-12-15,Amended
908,"ACON Contenur Investors, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$8,928,000","$8,928,000",2017-12-14,New Filing
909,"Artemis Healthcare Fund I REIT, Inc.  (REITS and Finance - Chevy Chase, MD)",Yes,"$125,000","$125,000",2017-12-14,New Filing
910,"Carlyle Europe Realty Fund, S.C.Sp.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2017-12-14,New Filing
911,"Decentral Park Capital LP  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2017-12-13,New Filing
912,"WCP Hunt Club LLC  (Commercial - Mclean, VA)",Yes,"$855,000","$855,000",2017-12-13,New Filing
913,"KAE Holdings Inc.  (Other - Mclean, VA)",Yes,"$1,294,117","$1,294,117",2017-12-11,New Filing
914,"Weather Analytics, LLC  (Other Technology - Washington, DC)",Yes,"$3,544,137","$3,544,137",2017-12-11,New Filing
915,"SenSanna Inc  (Other Technology - Hanover, MD)",Yes,"$124,562","$124,562",2017-12-11,New Filing
916,"NW SPV XXXIV, LLC  (Investing - Silver Spring, MD)",Yes,"$85,000","$85,000",2017-12-11,New Filing
917,"Vision III Imaging, Inc.  (Other Technology - Reston, VA)",Yes,"$130,000","$130,000",2017-12-11,New Filing
918,"Columbia Spectrum Partners II-B, L.P.  (Pooled Investment Fund - Alexandria, VA)",Yes,Yet to Sell,$0,2017-12-08,New Filing
919,"Columbia Spectrum Partners II-A, L.P.  (Pooled Investment Fund - Alexandria, VA)",Yes,Yet to Sell,$0,2017-12-08,New Filing
920,"BCM Partners Fund, LP  (Pooled Investment Fund - Arlington, VA)",No,"$95,266,117","$12,124,878",2017-12-08,Amended
921,"Pie Insurance Holdings, Inc.  (Insurance - Washington, DC)",Yes,"$4,331,962","$4,331,962",2017-12-07,New Filing
922,"Lions Mane Financial, L.L.C.  (REITS and Finance - Bethesda, MD)",Yes,Yet to Sell,$0,2017-12-06,New Filing
923,"Digestive Health Network, Inc.  (Hospitals and Physicians - Silver Spring, MD)",No,"$380,000","$311,000",2017-12-06,Amended
924,"FS Card Holdings, Inc.  (Other Banking and Financial Services - Washington, DC)",Yes,"$10,000,000","$10,000,000",2017-12-06,New Filing
925,"WOODMONT CAPITAL LP  (Pooled Investment Fund - Arlington, VA)",No,Yet to Sell,$0,2017-12-05,Amended
926,"NW SPV III, LLC  (Investing - Silver Spring, MD)",Yes,$0,$0,2017-12-05,New Filing
927,"Sachs Capital - Ducky, LLC  (Construction - Potomac, MD)",Yes,"$1,900,000","$1,900,000",2017-12-05,New Filing
928,"Rise of the Rest Seed Fund, LP  (Pooled Investment Fund - Washington, DC)",No,"$150,000,000","$150,000,000",2017-12-05,Amended
929,"Loci, Inc.  (Other - Reston, VA)",Yes,"$1,096,617","$1,096,617",2017-12-04,New Filing
930,"FORT GLOBAL DIVERSIFIED LP  (Pooled Investment Fund - Chevy Chase, MD)",No,"$194,689,072",$0,2017-12-01,Amended
931,"FORT Global Trend L.P.  (Pooled Investment Fund - Chevy Chase, MD)",No,Yet to Sell,$0,2017-12-01,Amended
932,"FORT Global Futures, L.P.  (Pooled Investment Fund - Chevy Chase, MD)",No,"$10,615,112","$1,555,300",2017-12-01,Amended
933,"FORT GLOBAL CONTRARIAN LP  (Pooled Investment Fund - Chevy Chase, MD)",No,"$287,839,029","$93,585,264",2017-12-01,Amended
934,"Fort Value Market Neutral, LP  (Pooled Investment Fund - Chevy Chase, MD)",No,"$20,971,551",$0,2017-12-01,Amended
935,"FORT GLOBAL DIVERSIFIED LP  (Pooled Investment Fund - Chevy Chase, MD)",No,"$194,689,072","$1,555,300",2017-12-01,Amended
936,"GREEN LEAF MEDICAL, LLC  (Other - Frederick, MD)",Yes,"$1,937,200","$1,937,200",2017-12-01,New Filing
937,"EIG Holdings Partnership (Direwolf), L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2017-11-30,New Filing
938,"EIG-Gateway Direct Investments (Direwolf), L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2017-11-30,New Filing
939,"TWG Southport, LLC  (Other - Washington, DC)",Yes,"$2,330,000","$2,330,000",2017-11-30,New Filing
940,"NAV III Opportunity Fund, LLC  (Pooled Investment Fund - Reston, VA)",Yes,"$3,120,900","$3,120,900",2017-11-30,New Filing
941,"VANSHAP CAPITAL VALUE FUND, LP  (Pooled Investment Fund - Arlington, VA)",No,"$37,058,000","$704,000",2017-11-30,Amended
942,"BM1 P, a Series of PROOF Master I, LLC  (Pooled Investment Fund - Reston, VA)",No,"$978,500",$0,2017-11-30,Amended
943,"NAV Moda Operandi I, LLC  (Pooled Investment Fund - Reston, VA)",Yes,"$577,500","$577,500",2017-11-30,New Filing
944,"BM1 P, a Series of PROOF Master I, LLC  (Pooled Investment Fund - Reston, VA)",Yes,"$978,500","$978,500",2017-11-29,New Filing
945,"Ubiquitilink, Inc.  (Other Technology - Falls Church, VA)",Yes,"$575,000","$575,000",2017-11-29,New Filing
946,"Chase Therapeutics Corp  (Pharmaceuticals - Washington, DC)",Yes,"$1,300,000","$1,300,000",2017-11-29,New Filing
947,"Iron Point Real Estate Partners IV, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$61,020,000","$61,020,000",2017-11-28,New Filing
948,"Fractal Industries, Inc.  (Computers - Reston, VA)",No,"$7,756,955","$1,919,500",2017-11-27,Amended
949,"Fonkoze USA, Inc.  (Other - Washington, DC)",No,"$3,760,437","$351,800",2017-11-27,Amended
950,"Carlyle Partners VII, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2017-11-24,New Filing
951,"FDS Conshohocken Investors, LLC  (Commercial - Arlington, VA)",Yes,"$966,470","$966,470",2017-11-22,New Filing
952,"Thycotic Software, LLC  (Other Technology - Washington, DC)",No,"$6,218,548","$1,485,000",2017-11-21,Amended
953,"Digestive Health Network, Inc.  (Hospitals and Physicians - Silver Spring, MD)",Yes,"$69,000","$69,000",2017-11-21,New Filing
954,"Yorkshire Property Fund LP  (Other Real Estate - Washington, DC)",Yes,"$4,825,000","$4,825,000",2017-11-21,New Filing
955,"Kalamata Short Duration, High Yield Fixed Income Fund (Domestic) LP  (Pooled Investment Fund - Bethesda, MD)",No,"$20,200,000","$20,200,000",2017-11-20,Amended
956,"Tianyou Offshore Fund, Ltd.  (Pooled Investment Fund - Annandale, VA)",No,"$7,181,227","$7,181,227",2017-11-20,Amended
957,"AlgometRx, Inc.  (Other Technology - Washington, DC)",Yes,"$50,000","$50,000",2017-11-17,New Filing
958,"SANDS CAPITAL PRIVATE GROWTH BB FUND-2, L.P.  (Pooled Investment Fund - Arlington, VA)",Yes,"$2,100,010","$2,100,010",2017-11-17,New Filing
959,"Infi Investment Group, LLC  (Investing - Rockville, MD)",Yes,Yet to Sell,$0,2017-11-16,New Filing
960,"BeneVir Biopharm, Inc.  (Biotechnology - Gaithersburg, MD)",Yes,"$2,000,000","$2,000,000",2017-11-16,New Filing
961,"Speak Agent, Inc.  (Other Technology - Rockville, MD)",Yes,"$100,000","$100,000",2017-11-15,New Filing
962,"Ostendio, Inc.  (Computers - Arlington, VA)",Yes,"$382,048","$382,048",2017-11-14,New Filing
963,"CSSAF Coinvestment, LP  (Pooled Investment Fund - Washington, DC)",No,"$47,517,350",$0,2017-11-14,Amended
964,"CIEP Coinvestment B, LP  (Pooled Investment Fund - Washington, DC)",No,"$22,333,750",$0,2017-11-14,Amended
965,"CIEP Co-Investment, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$288,295,025",$0,2017-11-14,Amended
966,"CEOF II Coinvestment B, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$16,119,500",$0,2017-11-14,Amended
967,"CEOF II Coinvestment, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$128,661,000",$0,2017-11-14,Amended
968,"CEMOF II Coinvestment, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$124,280,000",$0,2017-11-14,Amended
969,"CGP Coinvestment, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$172,504,500",$0,2017-11-14,Amended
970,"Global Medical REIT L.P.  (REITS and Finance - Bethesda, MD)",Yes,"$10,000,000","$10,000,000",2017-11-14,New Filing
971,"Bespoken Holdings, Inc.  (Other Technology - Washington, DC)",Yes,"$1,209,756","$1,209,756",2017-11-13,New Filing
972,"3 Strong Ships, L.P.  (Pooled Investment Fund - Bethesda, MD)",No,"$10,905,000","$9,814,500",2017-11-13,Amended
973,"ThreatQuotient, Inc.  (Other Technology - Reston, VA)",Yes,"$23,850,000","$23,850,000",2017-11-13,New Filing
974,"Bentall Kennedy Daily Value Fund, LP  (REITS and Finance - Bethesda, MD)",Yes,"$2,610,000","$2,610,000",2017-11-09,New Filing
975,"FRAMEBRIDGE, INC.  (Other Technology - Washignton, DC)",Yes,"$16,691,523","$16,691,523",2017-11-09,New Filing
976,"Sierra Springs Diversified Income Fund, LP  (Pooled Investment Fund - Ashton, MD)",No,"$1,370,000","$1,370,000",2017-11-07,Amended
977,"NeWAY Cities LLC  (Investing - Washington, DC)",Yes,"$1,250,000","$1,250,000",2017-11-07,New Filing
978,"STEBEN SELECT MULTI-STRATEGY PARTNERS, L.P.  (Pooled Investment Fund - Gaithersburg, MD)",No,"$45,583,586",$0,2017-11-07,Amended
979,"STEBEN SELECT MULTI-STRATEGY MASTER FUND  (Pooled Investment Fund - Gaithersburg, MD)",No,"$58,629,276",$0,2017-11-07,Amended
980,"Mercado Investor LLC  (Restaurants - Washington, DC)",Yes,"$16,400,000","$16,400,000",2017-11-06,New Filing
981,"Juggernaut Foundation Coinvestment, L.P.  (Pooled Investment Fund - Chevy Chase, MD)",Yes,"$42,000,000","$42,000,000",2017-11-06,New Filing
982,"MainStreet Bancshares, Inc.  (Commercial Banking - Fairfax, VA)",Yes,"$18,400,000","$18,400,000",2017-11-06,New Filing
983,"CleanCapital LLC  (Other Energy - Washington, DC)",No,"$3,748,476","$1,317,709",2017-11-02,Amended
984,"Riverside Baptist REIT LLC  (REITS and Finance - Washington, DC)",Yes,"$125,000","$125,000",2017-11-02,New Filing
985,"HCA-CP7, LP  (Pooled Investment Fund - Mclean, VA)",Yes,Yet to Sell,$0,2017-11-02,New Filing
986,"Full Genomes Corp  (Other Technology - Rockville, MD)",No,"$100,000",$0,2017-11-01,Amended
987,"Full Genomes Corp  (Other Technology - Rockville, MD)",Yes,"$100,000","$100,000",2017-11-01,New Filing
988,"Brown & Burkholder Realty Group LLC  (Residential - Falls Church, VA)",Yes,"$650,000","$650,000",2017-10-31,New Filing
989,"Vital TOMA Investors LLC  (Other - Bethesda, MD)",Yes,"$56,000","$56,000",2017-10-30,New Filing
990,"Rise of the Rest Seed Fund, LP  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2017-10-27,New Filing
991,"CAP V Feeder, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2017-10-27,New Filing
992,"Carlyle Asia Partners V, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2017-10-27,New Filing
993,"UserMuse, LLC  (Other Technology - Alexandria, VA)",Yes,"$100,000","$100,000",2017-10-27,New Filing
994,"Reverse Ionizer, LLC  (Other Technology - Herndon, VA)",Yes,"$4,699,784","$4,699,784",2017-10-27,New Filing
995,"SpeakApp Inc.  (Computers - Washington, DC)",Yes,"$500,000","$500,000",2017-10-27,New Filing
996,"HiLabs Inc.  (Other Technology - Olney, MD)",Yes,"$250,000","$250,000",2017-10-27,New Filing
997,"PowerField Energy Inc.  (Other Energy - Falls Church, VA)",Yes,"$200,004","$200,004",2017-10-27,New Filing
998,"WMC Davenport, LLC  (Other Real Estate - Alexandria, VA)",Yes,"$2,050,000","$2,050,000",2017-10-27,New Filing
999,"Resonate Networks, Inc.  (Other Technology - Reston, VA)",Yes,"$7,996,997","$7,996,997",2017-10-26,New Filing
1000,"SoapBox Soaps LLC  (Retailing - Washington, DC)",No,"$2,209,414","$809,177",2017-10-26,Amended
1001,"Pearl Biotech & Life Sciences Fund, L.P.  (Pooled Investment Fund - Mclean, VA)",No,Yet to Sell,$0,2017-10-26,Amended
1002,"Purify Fuels, Inc.  (Other Technology - Washington, DC)",Yes,"$275,000","$275,000",2017-10-26,New Filing
1003,"Penzance DC Real Estate Fund LP  (Pooled Investment Fund - Washington, DC)",Yes,"$33,679,000","$33,679,000",2017-10-26,New Filing
1004,"57 STARS GLOBAL OPPORTUNITY FUND 4 (Cayman), L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$8,500,000","$8,500,000",2017-10-26,New Filing
1005,"57 Stars Global Opportunity Fund 4 (U.S.), L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$9,325,000","$9,325,000",2017-10-26,New Filing
1006,"CP VII Coinvestment B, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$24,415,000","$24,415,000",2017-10-25,New Filing
1007,"CP VII Coinvestment A, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$706,275,000","$706,275,000",2017-10-25,New Filing
1008,"CAP V Co-Investment, L.P.  (Pooled Investment Fund - Washington, DC)",Yes,"$300,000,000","$300,000,000",2017-10-25,New Filing
1009,"Stardog Union  (Other Technology - Arlington, VA)",Yes,"$6,051,995","$6,051,995",2017-10-25,New Filing
1010,"BTCS Inc.  (Other - Silver Spring, MD)",Yes,"$1,100,000","$1,100,000",2017-10-24,New Filing
1011,"Venture Global LNG, Inc.  (Oil and Gas - Arlington, DC)",Yes,"$108,589,716","$108,589,716",2017-10-24,New Filing
1012,"ExecVision, Inc.  (Other Technology - Arlington, VA)",Yes,"$2,195,000","$2,195,000",2017-10-19,New Filing
1013,"CommuniGift, Inc.  (Other Technology - Washington, D.C., DC)",No,"$300,000","$75,000",2017-10-19,Amended
1014,"BRISTOL INVESTORS LLC  (Commercial - Potomac, MD)",Yes,Yet to Sell,$0,2017-10-18,New Filing
1015,"CYTIMMUNE SCIENCES INC  (Biotechnology - Rockville, MD)",Yes,"$30,000","$30,000",2017-10-17,New Filing
1016,"Echo 360 Holdings, Inc.  (Other Technology - Reston, VA)",Yes,"$3,127,169","$3,127,169",2017-10-16,New Filing
1017,"DP Commons Memphis I, LP  (Other - Washington, DC)",Yes,"$80,000","$80,000",2017-10-16,New Filing
1018,"DP Memphis I, LLC  (Other - Washington, DC)",Yes,"$85,000","$85,000",2017-10-16,New Filing
1019,"Danny Boy LLC  (Restaurants - Washington, DC)",No,"$1,125,000","$750,000",2017-10-13,Amended
1020,"Multiplier Capital II, LP  (Pooled Investment Fund - Chevy Chase, MD)",No,"$114,750,000","$19,240,000",2017-10-13,Amended
1021,"INDURE Build-to-Core Fund, LLC  (Other Real Estate - Washington, DC)",No,"$1,339,214,866","$2,299,999",2017-10-13,Amended
1022,"Carlyle Europe CLO Coinvestors, LP  (Pooled Investment Fund - Washington, DC)",No,"$152,549,185","$40,019,390",2017-10-12,Amended
1023,"Carlyle CLO Coinvestors, LP  (Pooled Investment Fund - Washington, DC)",No,"$174,176,399","$10,278,533",2017-10-12,Amended
1024,"Carlyle Realty Foreign Investors VIII-C, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$4,117,738,000","$440,000,000",2017-10-12,Amended
1025,"Carlyle Realty Foreign Investors VIII-B, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$4,117,738,000","$440,000,000",2017-10-12,Amended
1026,"Carlyle Realty Foreign Investors VIII-A, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$4,117,738,000","$440,000,000",2017-10-12,Amended
1027,"Carlyle Realty Partners VIII, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$4,117,738,000","$440,000,000",2017-10-12,Amended
1028,"ICX Media, Inc.  (Other - Washington, DC)",Yes,"$9,863,073","$9,863,073",2017-10-12,New Filing
1029,"Airside Mobile, Inc.  (Other Technology - Arlington, VA)",Yes,"$7,708,053","$7,708,053",2017-10-11,New Filing
1030,"Global Medical REIT L.P.  (REITS and Finance - Bethesda, MD)",Yes,"$83,333","$83,333",2017-10-11,New Filing
1031,"Asepticys, LLC  (Other - Alexandria, VA)",Yes,"$2,654,763","$2,654,763",2017-10-11,New Filing
1032,"UIP Walker Invest, LLC  (Other Real Estate - Washington, DC)",Yes,"$760,000","$760,000",2017-10-11,New Filing
1033,"Intersection Impact Fund I, LLC  (Pooled Investment Fund - Washington, DC)",Yes,Yet to Sell,$0,2017-10-11,New Filing
1034,"JDBI MHPI, LLC  (Other Real Estate - Washington, DC)",Yes,"$610,000","$610,000",2017-10-11,New Filing
1035,"SEQUELLA INC.  (Pharmaceuticals - Rockville, MD)",Yes,"$630,589","$630,589",2017-10-10,New Filing
1036,"Hazel Analytics Inc.  (Other Technology - Potomac, MD)",Yes,"$43,588","$43,588",2017-10-06,New Filing
1037,"SAAS VENTURES, L.P.  (Pooled Investment Fund - Bethesda, MD)",No,"$7,245,000",$0,2017-10-06,Amended
1038,"Carlyle Property Investors-B, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$105,558,000","$1,000,000",2017-10-05,Amended
1039,"Carlyle Property Investors, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$961,556,000","$265,550,000",2017-10-05,Amended
1040,"PlanetRisk, Inc.  (Other Technology - Mclean, VA)",Yes,"$1,500,023","$1,500,023",2017-10-05,New Filing
1041,"SAAS VENTURES, L.P.  (Pooled Investment Fund - Bethesda, MD)",No,"$7,245,000",$0,2017-10-05,Amended
1042,"MMAX Investment Partners, Inc.  (Other - Mc Lean, VA)",Yes,"$10,000,000","$10,000,000",2017-10-05,New Filing
1043,"Wireless Registry, Inc.  (Other Technology - Washington, DC)",Yes,"$6,200,000","$6,200,000",2017-10-05,New Filing
1044,"Carlyle Property Investors-A, L.P.  (Pooled Investment Fund - Washington, DC)",No,Yet to Sell,$0,2017-10-04,Amended
1045,"Urgent.ly Inc.  (Other - Vienna, VA)",Yes,"$9,940,472","$9,940,472",2017-10-04,New Filing
1046,"GTT Communications, Inc.  (Telecommunications - Mclean, VA)",Yes,"$57,072,500","$57,072,500",2017-10-04,New Filing
1047,"CPP II Co-Investment, L.P.  (Pooled Investment Fund - Washington, DC)",No,"$50,735,000",$0,2017-10-04,Amended
1048,"CPF Coinvestment, LP  (Pooled Investment Fund - Washington, DC)",No,"$16,465,000",$0,2017-10-04,Amended
1049,"CP VI Coinvestment B, LP  (Pooled Investment Fund - Washington, DC)",No,"$43,988,000",$0,2017-10-04,Amended
1050,"CP VI Coinvestment A, LP  (Pooled Investment Fund - Washington, DC)",No,"$851,974,565",$0,2017-10-04,Amended
